commit_date,commit_id,filedir,filename,category,line_count
2025-09-30 06:31:03 +0200,1637294,src,xml_builder.py,executable,52
2025-09-30 06:31:03 +0200,1637294,src,xml_builder.py,documentation,14
2025-09-30 06:31:03 +0200,1637294,tests,__init__.py,executable,0
2025-09-30 06:31:03 +0200,1637294,tests,__init__.py,documentation,1
2025-09-30 06:31:03 +0200,1637294,tests,test_cli.py,executable,88
2025-09-30 06:31:03 +0200,1637294,tests,test_cli.py,documentation,27
2025-09-30 06:31:03 +0200,1637294,tests,test_end_to_end.py,executable,199
2025-09-30 06:31:03 +0200,1637294,tests,test_end_to_end.py,documentation,50
2025-09-30 06:31:03 +0200,1637294,tests,test_exceptions.py,executable,166
2025-09-30 06:31:03 +0200,1637294,tests,test_exceptions.py,documentation,32
2025-09-30 06:31:03 +0200,1637294,tests,test_exceptions_url.py,executable,83
2025-09-30 06:31:03 +0200,1637294,tests,test_exceptions_url.py,documentation,22
2025-09-30 06:31:03 +0200,1637294,tests,test_file_parser.py,executable,283
2025-09-30 06:31:03 +0200,1637294,tests,test_file_parser.py,documentation,36
2025-09-30 06:31:03 +0200,1637294,tests,test_models.py,executable,56
2025-09-30 06:31:03 +0200,1637294,tests,test_models.py,documentation,11
2025-09-30 06:31:03 +0200,1637294,tests,test_time_utils.py,executable,103
2025-09-30 06:31:03 +0200,1637294,tests,test_time_utils.py,documentation,25
2025-09-30 06:31:03 +0200,1637294,tests,test_url_parser.py,executable,253
2025-09-30 06:31:03 +0200,1637294,tests,test_url_parser.py,documentation,64
2025-09-30 06:31:03 +0200,1637294,tests,test_xml_builder.py,executable,214
2025-09-30 06:31:03 +0200,1637294,tests,test_xml_builder.py,documentation,34
2025-09-30 05:56:32 +0200,efd83b7,src,__init__.py,executable,0
2025-09-30 05:56:32 +0200,efd83b7,src,__init__.py,documentation,1
2025-09-30 05:56:32 +0200,efd83b7,src,cli.py,executable,120
2025-09-30 05:56:32 +0200,efd83b7,src,cli.py,documentation,51
2025-09-30 05:56:32 +0200,efd83b7,src,exceptions.py,executable,135
2025-09-30 05:56:32 +0200,efd83b7,src,exceptions.py,documentation,49
2025-09-30 05:56:32 +0200,efd83b7,src,file_parser.py,executable,139
2025-09-30 05:56:32 +0200,efd83b7,src,file_parser.py,documentation,74
2025-09-30 05:56:32 +0200,efd83b7,src,logging_config.py,executable,21
2025-09-30 05:56:32 +0200,efd83b7,src,logging_config.py,documentation,23
2025-09-30 05:56:32 +0200,efd83b7,src,models.py,executable,21
2025-09-30 05:56:32 +0200,efd83b7,src,models.py,documentation,13
2025-09-30 05:56:32 +0200,efd83b7,src,time_utils.py,executable,62
2025-09-30 05:56:32 +0200,efd83b7,src,time_utils.py,documentation,42
2025-09-30 05:56:32 +0200,efd83b7,src,url_parser.py,executable,178
2025-09-30 05:56:32 +0200,efd83b7,src,url_parser.py,documentation,157
2025-09-30 05:56:32 +0200,efd83b7,src,xml_builder.py,executable,52
2025-09-30 05:56:32 +0200,efd83b7,src,xml_builder.py,documentation,14
2025-09-30 05:56:32 +0200,efd83b7,tests,__init__.py,executable,0
2025-09-30 05:56:32 +0200,efd83b7,tests,__init__.py,documentation,1
2025-09-30 05:56:32 +0200,efd83b7,tests,test_cli.py,executable,88
2025-09-30 05:56:32 +0200,efd83b7,tests,test_cli.py,documentation,27
2025-09-30 05:56:32 +0200,efd83b7,tests,test_end_to_end.py,executable,199
2025-09-30 05:56:32 +0200,efd83b7,tests,test_end_to_end.py,documentation,50
2025-09-30 05:56:32 +0200,efd83b7,tests,test_exceptions.py,executable,166
2025-09-30 05:56:32 +0200,efd83b7,tests,test_exceptions.py,documentation,32
2025-09-30 05:56:32 +0200,efd83b7,tests,test_exceptions_url.py,executable,83
2025-09-30 05:56:32 +0200,efd83b7,tests,test_exceptions_url.py,documentation,22
2025-09-30 05:56:32 +0200,efd83b7,tests,test_file_parser.py,executable,283
2025-09-30 05:56:32 +0200,efd83b7,tests,test_file_parser.py,documentation,36
2025-09-30 05:56:32 +0200,efd83b7,tests,test_models.py,executable,56
2025-09-30 05:56:32 +0200,efd83b7,tests,test_models.py,documentation,11
2025-09-30 05:56:32 +0200,efd83b7,tests,test_time_utils.py,executable,103
2025-09-30 05:56:32 +0200,efd83b7,tests,test_time_utils.py,documentation,25
2025-09-30 05:56:32 +0200,efd83b7,tests,test_url_parser.py,executable,253
2025-09-30 05:56:32 +0200,efd83b7,tests,test_url_parser.py,documentation,64
2025-09-30 05:56:32 +0200,efd83b7,tests,test_xml_builder.py,executable,214
2025-09-30 05:56:32 +0200,efd83b7,tests,test_xml_builder.py,documentation,34
2025-09-30 04:35:59 +0200,e8dd064,src,__init__.py,executable,0
2025-09-30 04:35:59 +0200,e8dd064,src,__init__.py,documentation,1
2025-09-30 04:35:59 +0200,e8dd064,src,cli.py,executable,119
2025-09-30 04:35:59 +0200,e8dd064,src,cli.py,documentation,55
2025-09-30 04:35:59 +0200,e8dd064,src,exceptions.py,executable,135
2025-09-30 04:35:59 +0200,e8dd064,src,exceptions.py,documentation,49
2025-09-30 04:35:59 +0200,e8dd064,src,file_parser.py,executable,139
2025-09-30 04:35:59 +0200,e8dd064,src,file_parser.py,documentation,74
2025-09-30 04:35:59 +0200,e8dd064,src,logging_config.py,executable,21
2025-09-30 04:35:59 +0200,e8dd064,src,logging_config.py,documentation,23
2025-09-30 04:35:59 +0200,e8dd064,src,models.py,executable,21
2025-09-30 04:35:59 +0200,e8dd064,src,models.py,documentation,13
2025-09-30 04:35:59 +0200,e8dd064,src,time_utils.py,executable,62
2025-09-30 04:35:59 +0200,e8dd064,src,time_utils.py,documentation,42
2025-09-30 04:35:59 +0200,e8dd064,src,url_parser.py,executable,161
2025-09-30 04:35:59 +0200,e8dd064,src,url_parser.py,documentation,147
2025-09-30 04:35:59 +0200,e8dd064,src,xml_builder.py,executable,52
2025-09-30 04:35:59 +0200,e8dd064,src,xml_builder.py,documentation,14
